time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1705852780597514200,2863.1995141601565,45,1.5,1.1593868732452393,17.034000396728516,2.189213275909424,183.38047790527344,98.82333332108189,2.3146475,48.8394192
1705852781199146800,2863.8011467285155,45,1.5,1.1593868732452393,17.033000946044922,2.1971118450164795,183.593017578125,98.82333332108189,2.3146464,48.8394124
1705852781770344000,2864.3723439941405,45,1.5,1.1593868732452393,16.91200065612793,2.2045791149139404,183.79872131347656,98.82333332108189,2.3146436,48.8393954
1705852782317542100,2864.919542236328,45,1.5,1.1658846139907837,17.010000228881836,2.205782651901245,183.91482543945312,98.86390956796008,2.3146434,48.8393875
1705852782825890800,2865.427890869141,45,1.5,1.1646592617034912,17.323999404907227,2.2067787647247314,183.9339141845703,98.88166173721393,2.3146425,48.8393741
1705852783417104400,2866.0191044921876,45,1.5,1.1646592617034912,17.40399932861328,2.204294204711914,184.4324493408203,98.88166173721393,2.3146404,48.8393649
1705852783964655400,2866.5666552734374,45,1.5,1.1388319730758667,17.55699920654297,2.1961045265197754,185.69703674316406,98.90499321635886,2.3146344,48.8393552
1705852784467852300,2867.069852294922,45,1.5,1.1388319730758667,17.691999435424805,2.1884536743164062,187.00218200683594,98.90499321635886,2.3146271,48.8393443
1705852784971253200,2867.573253173828,45,1.5,1.1532353162765503,17.757999420166016,2.190941572189331,187.76873779296875,99.14338375884711,2.3146217,48.8393371
1705852785523399000,2868.125398925781,45,1.5,1.1532353162765503,17.7549991607666,2.192359447479248,188.64456176757812,99.14338375884711,2.3146141,48.8393234
1705852786109813500,2868.7118134765624,45,1.5,1.1566855907440186,17.792999267578125,2.1951637268066406,188.61534118652344,99.3919257379649,2.3146093,48.8393101
1705852786669357000,2869.2713571777344,45,1.5,1.1564066410064697,17.756999969482422,2.1987993717193604,188.6083984375,99.40257770037383,2.3146055,48.8392994
1705852787282643000,2869.8846428222655,45,1.5,1.1564066410064697,17.599000930786133,2.1944355964660645,188.57373046875,99.40257770037383,2.3146005,48.8392904
1705852787869057500,2870.4710576171874,45,1.5,1.1564066410064697,17.466999053955078,2.192091703414917,188.51275634765625,99.40257770037383,2.3145961,48.839284
1705852788455472000,2871.0574721679686,45,1.5,1.1559511423110962,17.30500030517578,2.188652276992798,188.73973083496094,99.61663426618827,2.3145903,48.8392705
1705852788968865800,2871.5708657226564,45,1.5,1.1519056558609009,17.316999435424805,2.184288501739502,189.19308471679688,99.70844691871879,2.3145872,48.8392658
1705852789511018200,2872.113018310547,45,1.5,1.1519056558609009,17.32699966430664,2.180264472961426,189.61058044433594,99.70844691871879,2.3145814,48.8392511
1705852790097432800,2872.699432861328,45,1.5,1.1602247953414917,17.371000289916992,2.1758220195770264,189.89303588867188,99.85149403300287,2.314578,48.8392454
1705852790669357000,2873.2713571777344,45,1.5,1.1602247953414917,17.389999389648438,2.1719067096710205,190.18240356445312,99.85149403300287,2.3145724,48.8392326
1705852791270261800,2873.87226171875,45,1.5,1.1694577932357788,17.374000549316406,2.166951894760132,190.58055114746094,99.95396189365515,2.3145679,48.8392212
1705852791856676000,2874.4586760253906,45,1.5,1.1561511754989624,17.40399932861328,2.1643316745758057,191.0282440185547,99.99961629096214,2.3145646,48.8392155
1705852792418643200,2875.020643310547,45,1.5,1.1561511754989624,17.433000564575195,2.1589043140411377,191.6910400390625,99.99961629096214,2.31456,48.8392072
1705852792968006000,2875.570005859375,45,1.5,1.1584882736206055,17.617000579833984,2.159191608428955,191.737060546875,100.0351254371123,2.314557,48.8391979
1705852793498636300,2876.100636230469,45,1.5,1.1584882736206055,17.575000762939453,2.1604576110839844,191.80734252929688,100.0351254371123,2.3145535,48.8391872
1705852794085050600,2876.6870505371094,45,1.5,1.155311942100525,17.63800048828125,2.1582067012786865,191.80247497558594,100.16194503387342,2.3145496,48.8391738
1705852794669357000,2877.2713571777344,45,1.5,1.155311942100525,17.68600082397461,2.1576178073883057,191.7621612548828,100.16194503387342,2.3145479,48.8391657
1705852795257879000,2877.8598791503905,45,1.5,1.1684226989746094,17.711999893188477,2.1569812297821045,191.5349884033203,100.3653676405511,2.3145444,48.8391512
1705852795836849400,2878.4388493652345,45,1.5,1.1684226989746094,17.742000579833984,2.1574959754943848,191.2430419921875,100.3653676405511,2.3145431,48.8391428
1705852796936482300,2879.538482421875,45,1.5,1.176456332206726,17.875,2.142575263977051,191.00291442871094,100.52618149490783,2.3145398,48.8391223
1705852797486252500,2880.0882524414064,45,1.5,1.174515962600708,17.993999481201172,2.1186931133270264,190.75294494628906,100.52618149490783,2.314539,48.8391095
1705852798072666600,2880.6746665039063,45,1.5,1.1635228395462036,18.240999221801758,2.0408565998077393,188.6557159423828,100.52618149490783,2.3145426,48.8391066
1705852798659080400,2881.2610805664062,45,1.5,1.1635228395462036,18.48200035095215,1.9729746580123901,187.1072998046875,100.52618149490783,2.3145439,48.8390967
1705852799197895200,2881.7998952636717,45,1.5,1.1616473197937012,18.466999053955078,1.9323116540908813,186.2976531982422,100.56828783596613,2.3145477,48.8390935
1705852799714625500,2882.3166254882813,45,1.5,1.1616473197937012,18.593000411987305,1.893018364906311,185.43096923828125,100.56828783596613,2.3145509,48.8390833
1705852800301039400,2882.9030393066405,45,1.5,1.1605594158172607,17.966999053955078,1.855129599571228,184.57916259765625,100.59669705203945,2.3145567,48.8390806
1705852800887453200,2883.489453125,45,1.5,1.156765103340149,17.343000411987305,1.8227750062942505,183.78770446777344,100.59669705203945,2.3145614,48.8390721
1705852801473867000,2884.0758669433594,45,1.5,1.156765103340149,16.665000915527344,1.8150534629821777,183.20545959472656,100.59669705203945,2.3145659,48.8390635
1705852802060280600,2884.662280517578,45,1.5,1.1780880689620972,16.656999588012695,1.8129587173461914,183.39169311523438,100.59669705203945,2.3145643,48.8390526
