time_dt,timestamp,position_lat,position_long,distance,accumulated_power,enhanced_altitude,altitude,enhanced_speed,speed,cycle_length16,unknown_88,heart_rate,cadence,fractional_cadence,unknown_90,lat,lon,device,speed_calculated,distance_from_start,speed_filtered,speed_calculated_filtered,seconds
2024-01-21 16:00:58+00:00,2024-01-21 16:00:58+00:00,582657373,27606569,7124.84,65535,110.79999999999995,110.79999999999995,2.557,2.557,0.0,300,163,80,0.0,-11.0,48.83777682669461,2.313955882564187,Garmin Forerunner 735 XT,2.6924085999408245,6293.08769956524,2.5546208144796516,2.6924085999408245,2395.0
2024-01-21 16:00:59+00:00,2024-01-21 16:00:59+00:00,582657137,27606415,7127.16,65535,111.79999999999995,111.79999999999995,2.557,2.557,0.0,300,162,80,0.0,-11.0,48.83775704540312,2.313942974433303,Garmin Forerunner 735 XT,2.3938754170191148,6295.481574982259,2.5562932126696967,2.3938754170191148,2396.0
2024-01-21 16:01:00+00:00,2024-01-21 16:01:00+00:00,582656856,27606223,7129.95,65535,111.79999999999995,111.79999999999995,2.557,2.557,0.0,300,162,81,0.0,-11.0,48.83773349225521,2.3139268811792135,Garmin Forerunner 735 XT,2.871653612286426,6298.353228594546,2.5572914027149456,2.871653612286426,2397.0
2024-01-21 16:01:01+00:00,2024-01-21 16:01:01+00:00,582656600,27606054,7132.48,65535,112.0,112.0,2.557,2.557,0.0,300,162,81,0.0,-11.0,48.83771203458309,2.3139127157628536,Garmin Forerunner 735 XT,2.6014885316975267,6300.954717126243,2.557443438914041,2.6014885316975267,2398.0
2024-01-21 16:01:02+00:00,2024-01-21 16:01:02+00:00,582656336,27605814,7135.33,65535,110.79999999999995,110.79999999999995,2.557,2.557,0.0,300,161,81,0.0,-11.0,48.83768990635872,2.313892599195242,Garmin Forerunner 735 XT,2.867389311031054,6303.822106437274,2.5578235294117784,2.867389311031054,2399.0
2024-01-21 16:01:03+00:00,2024-01-21 16:01:03+00:00,582656099,27605591,7137.93,65535,110.79999999999995,110.79999999999995,2.557,2.557,0.0,300,162,81,0.0,-11.0,48.8376700412482,2.3138739075511694,Garmin Forerunner 735 XT,2.5982044630120247,6306.420310900286,2.5577058823529546,2.5982044630120247,2400.0
2024-01-21 16:01:04+00:00,2024-01-21 16:01:04+00:00,582655855,27605366,7140.59,65535,111.0,111.0,2.557,2.557,0.0,300,162,80,0.0,-11.0,48.837649589404464,2.3138550482690334,Garmin Forerunner 735 XT,2.6602383717989344,6309.080549272085,2.5570000000000137,2.6602383717989344,2401.0
2024-01-21 16:01:05+00:00,2024-01-21 16:01:05+00:00,582655648,27605116,7143.05,65535,110.39999999999998,110.39999999999998,2.557,2.557,0.0,300,163,80,0.0,-11.0,48.8376322388649,2.3138340935111046,Garmin Forerunner 735 XT,2.4645904263130474,6311.545139698398,2.5570000000000137,2.4645904263130474,2402.0
2024-01-21 16:01:06+00:00,2024-01-21 16:01:06+00:00,582655388,27604921,7145.7,65535,110.0,110.0,2.557,2.557,0.0,300,163,80,0.0,-11.0,48.83761044591665,2.31381774879992,Garmin Forerunner 735 XT,2.7024425867705446,6314.247582285168,2.5570000000000137,2.7024425867705446,2403.0
2024-01-21 16:01:07+00:00,2024-01-21 16:01:07+00:00,582655184,27604738,7147.91,65535,109.60000000000002,109.60000000000002,2.557,2.557,0.0,300,163,80,0.0,-11.0,48.83759334683418,2.313802409917116,Garmin Forerunner 735 XT,2.2080174420227046,6316.455599727191,2.5570000000000137,2.2080174420227046,2404.0
